Class,Y1990,Y1991,Y1992,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
Death,7133,8416,9699,7460,5933,6650,10507,2629,2563,3356,4118,3190,2679,4837,5460,8180,11210,8526,8072,7561,7887,14007,20035,27786,28527
Injured,6128,7545,9926,7208,14287,10700,9242,8100,5248,5540,6378,7096,7021,11758,12783,15545,22391,18798,19126,15779,14607,25518,37684,40991,43373
